id,text
1,"hi, how are you doing?"
2,i'm fine. how about yourself?
3,i'm pretty good. thanks for asking.
4,no problem. so how have you been?
5,i've been great. what about you?
6,i've been good. i'm in school right now.
7,what school do you go to?
8,i go to pcc.
9,do you like it there?
10,it's okay. it's a really big campus.
11,good luck with school.
12,how's it going?
13,i'm doing well. how about you?
14,"never better, thanks."
15,so how have you been lately?
16,i've actually been pretty good. you?
17,i'm actually in school right now.
18,which school do you attend?
19,i'm attending pcc right now.
20,are you enjoying it there?
21,it's not bad. there are a lot of people there.
22,good luck with that.
23,how are you doing today?
24,i'm doing great. what about you?
25,"i'm absolutely lovely, thank you."
26,everything's been good with you?
27,i haven't been better. how about yourself?
28,i started school recently.
29,where are you going to school?
30,i'm going to pcc.
31,how do you like it so far?
32,i like it so far. my classes are pretty good right now.
33,it's an ugly day today.
34,i know. i think it may rain.
35,"it's the middle of summer, it shouldn't rain today."
36,that would be weird.
37,"yeah, especially since it's ninety degrees outside."
38,"i know, it would be horrible if it rained and it was hot outside."
39,"yes, it would be.†"
40,i really wish it wasn't so hot every day.†
41,me too. i can't wait until winter.
42,"i like winter too, but sometimes it gets too cold."
43,i'd rather be cold than hot.
44,it doesn't look very nice outside today.
45,you're right. i think it's going to rain later.
46,"in the middle of the summer, it shouldn't be raining."
47,that wouldn't seem right.
48,"considering that it's over ninety degrees outside, that would be weird."
49,"exactly, it wouldn't be nice if it started raining. it's too hot."
50,"i know, you're absolutely right."
51,i wish it would cool off one day.
52,"that's how i feel, i want winter to come soon."
53,"i enjoy the winter, but it gets really cold sometimes."
54,"i know what you mean, but i'd rather be cold than hot."
55,i wish it was a nicer day today.
56,that is true. i hope it doesn't rain.
57,it wouldn't rain in the middle of the summer.
58,it wouldn't seem right if it started raining right now.
59,it would be weird if it started raining in ninety degree weather.
60,any rain right now would be pointless.
61,"that's right, it really would be."
62,i want it to cool down some.
63,"i know what you mean, i can't wait until it's winter."
64,winter is great. i wish it didn't get so cold sometimes though.
65,it's such a nice day.
66,"yes, it is."
67,it looks like it may rain soon.
68,"yes, and i hope that it does."
69,why is that?
70,i really love how rain clears the air.
71,me too. it always smells so fresh after it rains.
72,"yes, but i love the night air after it rains."
73,really? why is it?
74,because you can see the stars perfectly.
75,i really hope it rains today.
76,isn't it a nice day?
77,it really is.
78,it seems that it may rain today.
79,hopefully it will.
80,how come?
81,i like how clear the sky gets after it rains.
82,i feel the same way. it smells so good after it rains.
83,i especially love the night air when it rains.
84,really? why?
85,the stars look so much closer after it rains.
86,i really want it to rain today.
87,don't you think it's nice out?
88,"yes, i think so too."
89,i think that it's going to rain.
90,i hope that it does rain.
91,you like the rain?
92,the sky looks so clean after it rains. i love it.
93,i understand. rain does make it smell cleaner.
94,i love most how it is at night after it rains.
95,how come?
96,you can see the stars so much more clearly after it rains.
97,i really want to go to the beach this weekend.
98,that sounds like fun. what's the weather going to be like?
99,i heard that it's going to be warm this weekend.
100,is it going to be perfect beach weather?
101,i believe so.
102,good. i hope it doesn't cool off this weekend.
103,i know. i really want to go to the beach.
104,but you know that california weather is really unpredictable.
105,"you're right. one minute it's hot, and then the next minute it's cold."
106,i really wish the weather would just stay the same.
107,i do too. that way we can have our activities planned ahead of time.
108,i would like to take a trip to the beach this weekend.
109,a trip to the beach would be fun. how is the weather going to be?
110,the forecast says that it will be warm on the weekend.
111,so do you think it'll be perfect weather for the beach?
112,it sounds like it will be.
113,i really hope it doesn't get cold.
114,"that would ruin things, i want to go so badly."
115,"the weather in california is unpredictable, so you never know."
116,that is true. the weather is constantly changing.
117,it would be nice if the weather would never change.
118,"that would be great, then we could plan things sooner."
119,it would be nice to go to the beach sometime this weekend.
120,what's the weather going to be like? i may want to go too.
121,the weather this weekend is supposed to be warm.
122,will it be good beach weather?
123,i think it will be.
124,it wouldn't be good if it got cold this weekend.
125,"i want this trip to be perfect, i hope it stays warm."
126,"this california weather is so uncertain, it's impossible to know what'll happen."
127,i know. every day the weather seems different.
128,i would love it if it wasn't always so unpredictable.
129,"hello, may i speak to alice please?"
130,this is she. how's it going?
131,i've been trying to call you all day.
132,sorry about that. i was cleaning up.
133,it's okay.
134,so what were you calling me about?
135,"oh, i just wanted to see if you wanted to hang out tomorrow."
136,"sure, what did you want to do?"
137,maybe we can go see a movie or something.
138,that sounds like fun. let's do it.
139,i'll see you tomorrow then.
140,"hi, how are you. is alice there?"
141,speaking. what's up?
142,why haven't you answered the phone?
143,"my bad, i had chores to do."
144,that's all right.
145,what was the reason for your call?
146,i want to do something tomorrow with you.
147,sounds good. what did you have in mind?
148,i was thinking about seeing a movie.
149,"okay, let's go see a movie."
150,until then.
151,is alice available?
152,you're talking to her.
153,i've called you a hundred times today.
154,i was busy doing something. i apologize.
155,no problem.
156,did you need something?
157,do you want to do something tomorrow?
158,is there somewhere special you wanted to go?
159,how about a movie?
160,a movie sounds good.
161,have you seen the new girl in school?
162,"no, i haven't."
163,she's really pretty.
164,describe her to me.
165,she's not too tall.
166,"well, how tall is she?"
167,she's about five feet even.
168,"what does she look like, though?"
169,she has pretty light brown eyes.
170,i may know which girl you're talking about.
171,so you have seen her around?
172,"there's a new girl in school, have you seen her yet?"
173,i haven't seen her yet.
174,i think that she is very pretty.
175,tell me how she looks.
176,she's kind of short.
177,what height is she?
178,she's probably about five feet.
179,"that's nice, but tell me what she looks like."
180,the first thing i noticed was her beautiful brown eyes.
181,i think i might've bumped into her before.
182,are you telling me that you've seen her before?
183,have you met the new girl?
184,no. have you?
185,she's one of the prettiest girls at the school.
186,what does she look like?
187,"well, she's quite short."
188,how tall would you say that she is?
189,i would say she's only five feet.
190,what about her facial features?
191,"she has light brown eyes, absolutely beautiful."
192,i think i know who you're talking about.
193,why weren't you at school yesterday?
194,i wasn't really feeling well.
195,what was wrong with you?
196,my stomach was upset.
197,do you feel better now?
198,i don't really feel too well yet.
199,do you want anything to make you feel better?
200,"no, thanks. i already took some medicine."
201,i hope you feel better.
202,what reason do you have for missing school?
203,i was sick.
204,how were you sick?
205,i had a stomachache.
206,did it get any better?
207,i'm still feeling under the weather.
208,would you like anything for your stomach?
209,i took something earlier.
210,get better.
211,why didn't you go to school yesterday?
212,i stayed home because i wasn't feeling well.
213,what was your problem?
214,my stomach was bothering me.
215,are you feeling any better?
216,i'm still feeling a little sick.
217,"i'm going to the store, would you like any pepto bismol?"
218,that's okay.
219,did you hear the good news?
220,"no, i haven't."
221,i got a promotion at my job.
222,did you really?
223,"seriously, i am so excited."
224,"well, congratulations."
225,thank you.
226,i'm so happy for you.
227,really?
228,yes. you really deserved this.
229,you think so?
230,have you heard my good news?
231,you haven't told me anything yet.
232,i got a promotion at work earlier this week.
233,is that right?
234,it's the truth. i am really happy.
235,congratulations on your promotion.
236,thank you very much.
237,i am really excited for you.
238,are you really?
239,i'm serious. you deserved this promotion.
240,is that what you really think?
241,"i haven't told you what happened yet, have i?"
242,i haven't heard anything.
243,"my boss offered me a promotion, and i took it."
244,are you serious?
245,"yes, i am really excited."
246,that's great. congratulations.
247,i appreciate that.
248,you have no idea how happy i am for you.
249,you look really nice today.†
250,thank you. i just got this outfit the other day.
251,"really, where did you get it?"
